myRole,otherRole,side,myChamp,otherChamp,value
top,sup,ALLY,garen,zed,-5.34
top,sup,ALLY,garen,wukong,1.29
top,sup,ALLY,garen,nunu,0.69
top,sup,ALLY,garen,darius,-3.05
top,sup,ALLY,garen,masteryi,-0.58
top,sup,ALLY,garen,volibear,1.33
top,sup,ALLY,garen,vi,-1.76
top,sup,ALLY,garen,rumble,2.29
top,sup,ALLY,garen,rengar,-0.23
top,sup,ALLY,garen,briar,-0.72
top,sup,ALLY,garen,kayle,1.37
top,sup,ALLY,garen,quinn,-1.84
top,sup,ALLY,garen,nasus,2.56
top,sup,ALLY,garen,kogmaw,2.17
top,sup,ALLY,garen,karthus,-5.45
top,sup,ALLY,garen,kaisa,0.19
top,sup,ALLY,garen,skarner,-2.22
top,sup,ALLY,garen,yone,5.05
top,sup,ALLY,garen,aurora,3.84
top,sup,ALLY,garen,jinx,-1.35
top,sup,ALLY,garen,ksante,-6.6
top,sup,ALLY,garen,naafiri,3.96
top,sup,ALLY,garen,zaahen,-2.3
top,sup,ALLY,garen,yorick,-1.41
top,sup,ALLY,garen,vayne,-2.71
top,sup,ALLY,garen,katarina,5.94
top,sup,ALLY,garen,qiyana,-2.05
top,sup,ALLY,garen,xinzhao,6.39
top,sup,ALLY,garen,aatrox,4.9
top,sup,ALLY,garen,diana,1.71
top,sup,ALLY,garen,viego,-5.26
top,sup,ALLY,garen,illaoi,0.81
top,sup,ALLY,garen,evelynn,-0.65
top,sup,ALLY,garen,jayce,0.07
top,sup,ALLY,garen,akali,-5.38
top,sup,ALLY,garen,smolder,-4.16
top,sup,ALLY,garen,viktor,8.54
top,sup,ALLY,garen,tristana,-3.19
top,sup,ALLY,garen,lillia,4.04
top,sup,ALLY,garen,ryze,3.22
